   id,      z_2d,      z_1d,     zs_1d,        dx,         b,         n
  194,   397.273,   395.273,   394.273,    14.142,    10.000,   0.05000
  195,   357.908,   355.908,   354.908,    10.000,    10.000,   0.05000
  196,   355.290,   353.290,   352.290,    14.142,    10.000,   0.05000
  197,   349.944,   347.944,   346.944,    14.142,    10.000,   0.05000
  198,   414.010,   412.010,   411.010,    10.000,    10.000,   0.05000
  199,   410.420,   408.420,   407.420,    10.000,    10.000,   0.05000
  200,   408.102,   406.102,   405.102,    14.142,    10.000,   0.05000
  201,   352.945,   350.945,   349.945,    14.142,    10.000,   0.05000
  202,   422.584,   420.584,   419.584,    10.000,    10.000,   0.05000
  203,   418.100,   416.100,   415.100,    14.142,    10.000,   0.05000
  204,   441.245,   439.245,   438.245,    10.000,    10.000,   0.05000
  205,   438.353,   436.353,   435.353,    10.000,    10.000,   0.05000
  206,   434.682,   432.682,   431.682,    10.000,    10.000,   0.05000
  207,   431.453,   429.453,   428.453,    10.000,    10.000,   0.05000
  208,   428.663,   426.663,   425.663,    14.142,    10.000,   0.05000
  209,   444.821,   442.821,   441.821,    14.142,    10.000,   0.05000
  210,   450.488,   448.488,   447.488,    14.142,    10.000,   0.05000
  211,   456.769,   454.769,   453.769,    14.142,    10.000,   0.05000
  212,   472.329,   470.329,   469.329,    10.000,    10.000,   0.05000
  213,   467.599,   465.599,   464.599,    10.000,    10.000,   0.05000
  214,   462.974,   460.974,   459.974,    14.142,    10.000,   0.05000
  215,   482.772,   480.772,   479.772,    10.000,    10.000,   0.05000
  216,   478.041,   476.041,   475.041,    14.142,    10.000,   0.05000
  217,   489.326,   487.326,   486.326,    14.142,    10.000,   0.05000
  218,   503.139,   501.139,   500.139,    10.000,    10.000,   0.05000
  219,   496.587,   494.587,   493.587,    14.142,    10.000,   0.05000
  220,   509.065,   507.065,   506.065,    14.142,    10.000,   0.05000
  221,   513.956,   511.956,   510.956,    14.142,    10.000,   0.05000
  222,   518.459,   516.459,   515.459,    14.142,    10.000,   0.05000
  223,   521.834,   519.834,   518.834,    10.000,    10.000,   0.05000
  224,   527.655,   525.655,   524.655,    14.142,    10.000,   0.05000
  225,   534.950,   532.950,   531.950,    14.142,    10.000,   0.05000
  226,   540.163,   538.163,   537.163,    10.000,    10.000,   0.05000
  227,   548.749,   546.749,   545.749,    14.142,    10.000,   0.05000
  228,   558.144,   556.144,   555.144,    14.142,    10.000,   0.05000
  229,   567.286,   565.286,   564.286,    10.000,    10.000,   0.05000
  230,   561.739,   559.739,   558.739,    10.000,    10.000,   0.05000
  231,   574.018,   572.018,   571.018,    14.142,    10.000,   0.05000
  232,   578.036,   576.036,   575.036,    14.142,    10.000,   0.05000
  233,   582.340,   580.340,   579.340,    14.142,    10.000,   0.05000
  234,   593.885,   591.885,   590.885,    10.000,    10.000,   0.05000
  235,   588.523,   586.523,   585.523,    14.142,    10.000,   0.05000
  236,   601.795,   599.795,   598.795,    10.000,    10.000,   0.05000
  237,   598.104,   596.104,   595.104,    14.142,    10.000,   0.05000
  238,   616.392,   614.392,   613.392,    10.000,    10.000,   0.05000
  239,   610.589,   608.589,   607.589,    14.142,    10.000,   0.05000
  240,   626.133,   624.133,   623.133,    14.142,    10.000,   0.05000
  241,   636.060,   634.060,   633.060,    14.142,    10.000,   0.05000
  242,   643.257,   641.257,   640.257,    14.142,    10.000,   0.05000
