   id           z           h           u           q          cc          cf         rho           e        zini       grd_w          hs          qs          sf       hsc/d        ifld             qa           qcca           qcfa
   80  1006.54500     0.00913     0.00065     0.00011     0.00000     0.00000  1000.00000     0.00000  1006.54500    -0.03250     2.00000     0.00002     0.07659     1.00000           0   0.71821E+003   0.00000E+000   0.00000E+000
   81  1005.57000     0.00912     0.00083     0.00011     0.00000     0.00000  1000.00000     0.00000  1005.57000    -0.04351     0.83646     0.00000     0.07028     1.00000           0   0.71241E+003   0.00000E+000   0.00000E+000
   82   954.61700     0.00907     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   954.61700    -0.11370     1.15311     0.00002     0.20244     1.00000           0   0.37661E+003   0.00000E+000   0.00000E+000
   83   946.06700     0.00909     0.00060     0.00008     0.00000     0.00000  1000.00000     0.00000   946.06700    -0.20113     1.99198     0.00007     0.47102     0.94856           0   0.33498E+003   0.00000E+000   0.00000E+000
   84  1006.00500     0.00907     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1006.00500    -0.42462     1.46512     0.00010     0.82471     0.50119           0   0.56209E+003   0.00000E+000   0.00000E+000
   85  1059.44300     0.00907     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1059.44300    -0.38630     1.98680     0.00012     0.89466     0.56800           1   0.51978E+003   0.00000E+000   0.00000E+000
   86  1134.24100     0.00907     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1134.24100    -0.85213     1.93782     0.00026     0.00000     0.00000           0   0.38570E+003   0.00000E+000   0.00000E+000
   87  1078.56300     0.00909     0.00088     0.00012     0.00000     0.00000  1000.00000     0.00000  1078.56300    -0.40500     1.18906     0.00007     0.72141     0.53479           1   0.10029E+004   0.00000E+000   0.00000E+000
   88  1070.37500     0.00957     0.00174     0.00033     0.00000     0.00000  1000.00000     0.00000  1070.37500    -0.00315     2.00000     0.00001     0.00739     1.00000           1   0.27776E+004   0.00000E+000   0.00000E+000
   89  1181.16900     0.00907     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1181.16900    -0.54721     1.97178     0.00017     0.00000     0.00000           0   0.40377E+003   0.00000E+000   0.00000E+000
   90  1206.84000     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1206.84000    -0.52717     1.81133     0.00014     0.00000     0.00000           0   0.00000E+000   0.00000E+000   0.00000E+000
   91  1200.38000     0.00909     0.00082     0.00011     0.00000     0.00000  1000.00000     0.00000  1200.38000    -0.53050     1.03187     0.00008     0.89302     0.36413           1   0.53629E+003   0.00000E+000   0.00000E+000
   92  1198.64000     0.00908     0.00063     0.00009     0.00000     0.00000  1000.00000     0.00000  1198.64000    -0.55077     1.55337     0.00013     1.09104     0.30513           1   0.76819E+003   0.00000E+000   0.00000E+000
   93  1208.60500     0.00908     0.00025     0.00003     0.00000     0.00000  1000.00000     0.00000  1208.60500    -1.04060     1.95283     0.00029     2.23557     0.00000           1   0.52758E+003   0.00000E+000   0.00000E+000
   94  1262.29400     0.00907     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1262.29400    -0.88050     1.93645     0.00026     0.00000     0.00000           0   0.45187E+002   0.00000E+000   0.00000E+000
