   id           z           h           u           q          cc          cf         rho           e        zini       grd_w          hs          qs          sf       hsc/d        ifld             qa           qcca           qcfa
   73  1090.19700     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1090.19700    -0.30133     1.94488     0.00009     0.68968     0.73435           0   0.00000E+000   0.00000E+000   0.00000E+000
   74  1081.15700     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1081.15700    -0.24933     1.61952     0.00006     0.51264     0.84123           0   0.00000E+000   0.00000E+000   0.00000E+000
   75  1073.67700     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1073.67700    -0.32383     1.75959     0.00009     0.69518     0.69072           0   0.00000E+000   0.00000E+000   0.00000E+000
   76  1063.96200     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1063.96200    -0.12977     1.78542     0.00004     0.28306     1.00000           0   0.00000E+000   0.00000E+000   0.00000E+000
   77  1060.06900     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1060.06900    -0.29739     1.54213     0.00007     0.59486     0.74216           0   0.00000E+000   0.00000E+000   0.00000E+000
   78  1026.73200     0.00001     0.00000     0.00000     0.00000     0.00000  1000.00000    -0.00000  1026.73200    -0.00000     2.00000     0.00000    -0.00000     1.00000           0   0.00000E+000   0.00000E+000   0.00000E+000
   79  1016.48300     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1016.48300    -0.33127     1.51354     0.00007     0.65541     0.67663           0   0.00000E+000   0.00000E+000   0.00000E+000
   80  1006.54500     0.00002     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1006.54500    -0.03250     2.00000     0.00002     0.07642     1.00000           0   0.00000E+000   0.00000E+000   0.00000E+000
   81  1005.57000     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1005.57000    -0.04351     0.83648     0.00000     0.07010     1.00000           0   0.00000E+000   0.00000E+000   0.00000E+000
   82   954.61700     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   954.61700    -0.11370     1.15312     0.00002     0.20193     1.00000           0   0.00000E+000   0.00000E+000   0.00000E+000
   83   946.06700     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   946.06700    -0.20113     1.99194     0.00007     0.46994     0.94856           0   0.00000E+000   0.00000E+000   0.00000E+000
   84  1006.00500     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1006.00500    -0.42462     1.46518     0.00010     0.82275     0.51229           0   0.00000E+000   0.00000E+000   0.00000E+000
   85  1059.44300     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1059.44300    -0.38630     1.98681     0.00012     0.89262     0.57706           0   0.00000E+000   0.00000E+000   0.00000E+000
   86  1134.24100     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1134.24100    -0.85213     1.93754     0.00026     0.00000     0.00000           0   0.00000E+000   0.00000E+000   0.00000E+000
   87  1078.56300     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1078.56300    -0.40500     1.18917     0.00007     0.71964     0.54500           1   0.00000E+000   0.00000E+000   0.00000E+000
   88  1070.37500     0.00008     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1070.37500    -0.00314     2.00000     0.00001     0.00737     1.00000           0   0.00000E+000   0.00000E+000   0.00000E+000
   89  1181.16900     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1181.16900    -0.54721     1.97165     0.00017     0.00000     0.00000           0   0.00000E+000   0.00000E+000   0.00000E+000
   90  1206.84000     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1206.84000    -0.52739     1.81122     0.00014     0.00000     0.00000           0   0.00000E+000   0.00000E+000   0.00000E+000
   91  1200.38000     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1200.38000    -0.53050     1.03195     0.00008     0.89079     0.35037           1   0.00000E+000   0.00000E+000   0.00000E+000
   92  1198.64000     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1198.64000    -0.55077     1.55340     0.00013     1.08845     0.32193           1   0.00000E+000   0.00000E+000   0.00000E+000
   93  1208.60500     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1208.60500    -1.04060     1.95261     0.00029     2.23030     0.00000           0   0.00000E+000   0.00000E+000   0.00000E+000
   94  1262.29400     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1262.29400    -0.88050     1.93616     0.00026     0.00000     0.00000           0   0.00000E+000   0.00000E+000   0.00000E+000
   95  1407.01700     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1407.01700    -0.67362     1.33162     0.00013     1.22816     0.16447           0   0.00000E+000   0.00000E+000   0.00000E+000
   96  1047.45200     0.00001     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1047.45200    -0.12860     2.00000     0.00004     0.30195     1.00000           0   0.00000E+000   0.00000E+000   0.00000E+000
   97  1043.59400     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1043.59400    -0.32783     1.49295     0.00007     0.64441     0.68312           0   0.00000E+000   0.00000E+000   0.00000E+000
   98  1033.75900     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1033.75900    -0.16563     1.80065     0.00004     0.36283     1.00000           0   0.00000E+000   0.00000E+000   0.00000E+000
   99  1003.72400     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1003.72400    -0.37980     1.97308     0.00012     0.87383     0.58840           0   0.00000E+000   0.00000E+000   0.00000E+000
  100   992.33000     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   992.33000    -0.28873     1.11465     0.00005     0.50405     0.75946           0   0.00000E+000   0.00000E+000   0.00000E+000
  101   983.66800     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   983.66800    -0.24130     0.99311     0.00003     0.40633     0.85854           0   0.00000E+000   0.00000E+000   0.00000E+000
  102   976.42900     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   976.42900    -0.09430     1.62511     0.00002     0.19508     1.00000           0   0.00000E+000   0.00000E+000   0.00000E+000
  103   973.60000     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   973.60000    -0.09283     1.71678     0.00002     0.19801     1.00000           0   0.00000E+000   0.00000E+000   0.00000E+000
  104   970.81500     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   970.81500    -0.00264     1.97219     0.00000     0.00615     1.00000           0   0.00000E+000   0.00000E+000   0.00000E+000
  105   949.79300     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   949.79300    -0.27830     1.62353     0.00007     0.57225     0.78062           0   0.00000E+000   0.00000E+000   0.00000E+000
  106   940.03300     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   940.03300    -0.02216     0.87016     0.00000     0.03607     1.00000           0   0.00000E+000   0.00000E+000   0.00000E+000
