         836
x,y,i,j
      10790.000,      -8395.000,  141,  197
      10790.000,      -8385.000,  141,  198
      10780.000,      -8375.000,  140,  199
      10780.000,      -8365.000,  140,  200
      10770.000,      -8355.000,  139,  201
      10760.000,      -8345.000,  138,  202
      10760.000,      -8335.000,  138,  203
      10750.000,      -8325.000,  137,  204
      10750.000,      -8315.000,  137,  205
      10740.000,      -8305.000,  136,  206
      10740.000,      -8295.000,  136,  207
      10730.000,      -8285.000,  135,  208
      10720.000,      -8275.000,  134,  209
      10720.000,      -8265.000,  134,  210
      10710.000,      -8255.000,  133,  211
      10710.000,      -8245.000,  133,  212
      10700.000,      -8235.000,  132,  213
      10690.000,      -8225.000,  131,  214
      10690.000,      -8215.000,  131,  215
      10680.000,      -8205.000,  130,  216
      10680.000,      -8195.000,  130,  217
      10670.000,      -8185.000,  129,  218
      10660.000,      -8175.000,  128,  219
      10660.000,      -8165.000,  128,  220
      10650.000,      -8155.000,  127,  221
      10650.000,      -8145.000,  127,  222
      10640.000,      -8135.000,  126,  223
      10630.000,      -8125.000,  125,  224
      10630.000,      -8115.000,  125,  225
      10620.000,      -8105.000,  124,  226
      10620.000,      -8095.000,  124,  227
      10610.000,      -8085.000,  123,  228
      10610.000,      -8075.000,  123,  229
      10600.000,      -8065.000,  122,  230
      10600.000,      -8055.000,  122,  231
      10590.000,      -8045.000,  121,  232
      10590.000,      -8035.000,  121,  233
      10580.000,      -8025.000,  120,  234
      10580.000,      -8015.000,  120,  235
      10570.000,      -8005.000,  119,  236
      10570.000,      -7995.000,  119,  237
      10560.000,      -7985.000,  118,  238
      10560.000,      -7975.000,  118,  239
      10550.000,      -7965.000,  117,  240
      10540.000,      -7955.000,  116,  241
      10540.000,      -7945.000,  116,  242
      10530.000,      -7935.000,  115,  243
      10530.000,      -7925.000,  115,  244
      10520.000,      -7915.000,  114,  245
      10520.000,      -7905.000,  114,  246
      10510.000,      -7895.000,  113,  247
      10510.000,      -7885.000,  113,  248
      10500.000,      -7875.000,  112,  249
      10500.000,      -7865.000,  112,  250
      10490.000,      -7855.000,  111,  251
      10490.000,      -7845.000,  111,  252
      10480.000,      -7835.000,  110,  253
      10480.000,      -7825.000,  110,  254
      10470.000,      -7815.000,  109,  255
      10470.000,      -7805.000,  109,  256
      10460.000,      -7795.000,  108,  257
      10460.000,      -7785.000,  108,  258
      10450.000,      -7775.000,  107,  259
      10450.000,      -7765.000,  107,  260
      10440.000,      -7755.000,  106,  261
      10440.000,      -7745.000,  106,  262
      10430.000,      -7735.000,  105,  263
      10430.000,      -7725.000,  105,  264
      10420.000,      -7715.000,  104,  265
      10410.000,      -7705.000,  103,  266
      10410.000,      -7695.000,  103,  267
      10400.000,      -7685.000,  102,  268
      10400.000,      -7675.000,  102,  269
      10390.000,      -7665.000,  101,  270
      10390.000,      -7655.000,  101,  271
      10380.000,      -7645.000,  100,  272
      10380.000,      -7635.000,  100,  273
      10370.000,      -7625.000,   99,  274
      10370.000,      -7615.000,   99,  275
      10360.000,      -7605.000,   98,  276
      10360.000,      -7595.000,   98,  277
      10350.000,      -7585.000,   97,  278
      10350.000,      -7575.000,   97,  279
      10340.000,      -7565.000,   96,  280
      10340.000,      -7555.000,   96,  281
      10330.000,      -7545.000,   95,  282
      10330.000,      -7535.000,   95,  283
      10320.000,      -7525.000,   94,  284
      10320.000,      -7515.000,   94,  285
      10310.000,      -7505.000,   93,  286
      10310.000,      -7495.000,   93,  287
      10300.000,      -7485.000,   92,  288
      10300.000,      -7475.000,   92,  289
      10290.000,      -7465.000,   91,  290
      10280.000,      -7455.000,   90,  291
      10280.000,      -7445.000,   90,  292
      10270.000,      -7435.000,   89,  293
      10270.000,      -7425.000,   89,  294
      10260.000,      -7415.000,   88,  295
      10260.000,      -7405.000,   88,  296
      10250.000,      -7395.000,   87,  297
      10250.000,      -7385.000,   87,  298
      10240.000,      -7375.000,   86,  299
      10240.000,      -7365.000,   86,  300
      10230.000,      -7355.000,   85,  301
      10230.000,      -7345.000,   85,  302
      10220.000,      -7335.000,   84,  303
      10220.000,      -7325.000,   84,  304
      10210.000,      -7315.000,   83,  305
      10210.000,      -7305.000,   83,  306
      10200.000,      -7295.000,   82,  307
      10200.000,      -7285.000,   82,  308
      10190.000,      -7275.000,   81,  309
      10190.000,      -7265.000,   81,  310
      10180.000,      -7255.000,   80,  311
      10180.000,      -7245.000,   80,  312
      10170.000,      -7235.000,   79,  313
      10160.000,      -7225.000,   78,  314
      10160.000,      -7215.000,   78,  315
      10150.000,      -7205.000,   77,  316
      10150.000,      -7195.000,   77,  317
      10150.000,      -7185.000,   77,  318
      10140.000,      -7175.000,   76,  319
      10140.000,      -7165.000,   76,  320
      10130.000,      -7155.000,   75,  321
      10130.000,      -7145.000,   75,  322
      10130.000,      -7135.000,   75,  323
      10120.000,      -7125.000,   74,  324
      10120.000,      -7115.000,   74,  325
      10110.000,      -7105.000,   73,  326
      10110.000,      -7095.000,   73,  327
      10100.000,      -7085.000,   72,  328
      10100.000,      -7075.000,   72,  329
      10100.000,      -7065.000,   72,  330
      10090.000,      -7055.000,   71,  331
      10090.000,      -7045.000,   71,  332
      10080.000,      -7035.000,   70,  333
      10080.000,      -7025.000,   70,  334
      10080.000,      -7015.000,   70,  335
      10070.000,      -7005.000,   69,  336
      10070.000,      -6995.000,   69,  337
      10060.000,      -6985.000,   68,  338
      10060.000,      -6975.000,   68,  339
