    3,# of div
x,y,i2d,j2d,i1d,itr,dist
      12565.000,      -9565.000,  318,   80,      1671,    3,     0.000
      12615.000,      -9585.000,  323,   78,      1672,    1,     0.000
      12605.000,      -9585.000,  322,   78,      1672,    2,     0.000
      12595.000,      -9585.000,  321,   78,      1672,    3,     0.000
      11895.000,      -9555.000,  251,   81,      1679,    1,     0.000
      11895.000,      -9545.000,  251,   82,      1679,    2,     0.000
      11895.000,      -9535.000,  251,   83,      1679,    3,     0.000
      12135.000,      -9555.000,  275,   81,      1680,    1,     0.000
      12135.000,      -9545.000,  275,   82,      1680,    2,     0.000
      12135.000,      -9535.000,  275,   83,      1680,    3,     0.000
      12165.000,      -9555.000,  278,   81,      1681,    1,     0.000
      12155.000,      -9545.000,  277,   82,      1681,    2,     0.000
      12145.000,      -9535.000,  276,   83,      1681,    3,     0.000
      12405.000,      -9555.000,  302,   81,      1682,    1,     0.000
      12395.000,      -9545.000,  301,   82,      1682,    2,     0.000
      12385.000,      -9535.000,  300,   83,      1682,    3,     0.000
      12435.000,      -9555.000,  305,   81,      1683,    1,     0.000
      12425.000,      -9555.000,  304,   81,      1683,    2,     0.000
      12415.000,      -9555.000,  303,   81,      1683,    3,     0.000
      12465.000,      -9555.000,  308,   81,      1684,    1,     0.000
      12455.000,      -9555.000,  307,   81,      1684,    2,     0.000
      12445.000,      -9555.000,  306,   81,      1684,    3,     0.000
      12495.000,      -9555.000,  311,   81,      1685,    1,     0.000
      12485.000,      -9555.000,  310,   81,      1685,    2,     0.000
      12475.000,      -9555.000,  309,   81,      1685,    3,     0.000
      12555.000,      -9555.000,  317,   81,      1686,    1,     0.000
      12545.000,      -9545.000,  316,   82,      1686,    2,     0.000
      12535.000,      -9535.000,  315,   83,      1686,    3,     0.000
      11895.000,      -9525.000,  251,   84,      1691,    1,     0.000
      11895.000,      -9515.000,  251,   85,      1691,    2,     0.000
      11895.000,      -9505.000,  251,   86,      1691,    3,     0.000
      12135.000,      -9525.000,  275,   84,      1692,    1,     0.000
      12125.000,      -9515.000,  274,   85,      1692,    2,     0.000
      12115.000,      -9505.000,  273,   86,      1692,    3,     0.000
      12165.000,      -9525.000,  278,   84,      1693,    1,     0.000
      12155.000,      -9525.000,  277,   84,      1693,    2,     0.000
      12145.000,      -9525.000,  276,   84,      1693,    3,     0.000
      12195.000,      -9525.000,  281,   84,      1694,    1,     0.000
      12185.000,      -9525.000,  280,   84,      1694,    2,     0.000
      12175.000,      -9525.000,  279,   84,      1694,    3,     0.000
      12225.000,      -9525.000,  284,   84,      1695,    1,     0.000
      12215.000,      -9525.000,  283,   84,      1695,    2,     0.000
      12205.000,      -9525.000,  282,   84,      1695,    3,     0.000
      12255.000,      -9525.000,  287,   84,      1696,    1,     0.000
      12245.000,      -9525.000,  286,   84,      1696,    2,     0.000
      12235.000,      -9525.000,  285,   84,      1696,    3,     0.000
      12285.000,      -9525.000,  290,   84,      1697,    1,     0.000
      12275.000,      -9525.000,  289,   84,      1697,    2,     0.000
      12265.000,      -9525.000,  288,   84,      1697,    3,     0.000
      12315.000,      -9525.000,  293,   84,      1698,    1,     0.000
      12305.000,      -9525.000,  292,   84,      1698,    2,     0.000
      12295.000,      -9525.000,  291,   84,      1698,    3,     0.000
      12345.000,      -9525.000,  296,   84,      1699,    1,     0.000
      12335.000,      -9525.000,  295,   84,      1699,    2,     0.000
      12325.000,      -9525.000,  294,   84,      1699,    3,     0.000
      12375.000,      -9525.000,  299,   84,      1700,    1,     0.000
      12365.000,      -9525.000,  298,   84,      1700,    2,     0.000
      12355.000,      -9525.000,  297,   84,      1700,    3,     0.000
      12525.000,      -9525.000,  314,   84,      1701,    1,     0.000
      12515.000,      -9535.000,  313,   83,      1701,    2,     0.000
      12505.000,      -9545.000,  312,   82,      1701,    3,     0.000
      11895.000,      -9495.000,  251,   87,      1706,    1,     0.000
      11895.000,      -9485.000,  251,   88,      1706,    2,     0.000
      11895.000,      -9475.000,  251,   89,      1706,    3,     0.000
      12105.000,      -9495.000,  272,   87,      1707,    1,     0.000
      12105.000,      -9485.000,  272,   88,      1707,    2,     0.000
      12105.000,      -9475.000,  272,   89,      1707,    3,     0.000
      12345.000,      -9495.000,  296,   87,      1708,    1,     0.000
      12335.000,      -9505.000,  295,   86,      1708,    2,     0.000
      12325.000,      -9515.000,  294,   85,      1708,    3,     0.000
      12555.000,      -9495.000,  317,   87,      1709,    1,     0.000
      12545.000,      -9505.000,  316,   86,      1709,    2,     0.000
      12535.000,      -9515.000,  315,   85,      1709,    3,     0.000
      12585.000,      -9495.000,  320,   87,      1710,    1,     0.000
      12575.000,      -9495.000,  319,   87,      1710,    2,     0.000
      12565.000,      -9495.000,  318,   87,      1710,    3,     0.000
      12615.000,      -9495.000,  323,   87,      1711,    1,     0.000
      12605.000,      -9495.000,  322,   87,      1711,    2,     0.000
      12595.000,      -9495.000,  321,   87,      1711,    3,     0.000
      11895.000,      -9465.000,  251,   90,      1716,    1,     0.000
      11895.000,      -9455.000,  251,   91,      1716,    2,     0.000
      11895.000,      -9445.000,  251,   92,      1716,    3,     0.000
      12015.000,      -9465.000,  263,   90,      1717,    1,     0.000
      12015.000,      -9455.000,  263,   91,      1717,    2,     0.000
      12015.000,      -9445.000,  263,   92,      1717,    3,     0.000
      12105.000,      -9465.000,  272,   90,      1718,    1,     0.000
      12095.000,      -9455.000,  271,   91,      1718,    2,     0.000
      12085.000,      -9445.000,  270,   92,      1718,    3,     0.000
      12375.000,      -9465.000,  299,   90,      1719,    1,     0.000
      12365.000,      -9475.000,  298,   89,      1719,    2,     0.000
      12355.000,      -9485.000,  297,   88,      1719,    3,     0.000
      12405.000,      -9465.000,  302,   90,      1720,    1,     0.000
      12395.000,      -9465.000,  301,   90,      1720,    2,     0.000
      12385.000,      -9465.000,  300,   90,      1720,    3,     0.000
      12555.000,      -9465.000,  317,   90,      1721,    1,     0.000
      12555.000,      -9475.000,  317,   89,      1721,    2,     0.000
      12555.000,      -9485.000,  317,   88,      1721,    3,     0.000
      12645.000,      -9465.000,  326,   90,      1722,    1,     0.000
      12635.000,      -9475.000,  325,   89,      1722,    2,     0.000
      12625.000,      -9485.000,  324,   88,      1722,    3,     0.000
      11895.000,      -9435.000,  251,   93,      1729,    1,     0.000
      11885.000,      -9425.000,  250,   94,      1729,    2,     0.000
      11875.000,      -9415.000,  249,   95,      1729,    3,     0.000
      12015.000,      -9435.000,  263,   93,      1730,    1,     0.000
      12005.000,      -9425.000,  262,   94,      1730,    2,     0.000
      11995.000,      -9415.000,  261,   95,      1730,    3,     0.000
      12045.000,      -9435.000,  266,   93,      1731,    1,     0.000
      12035.000,      -9435.000,  265,   93,      1731,    2,     0.000
      12025.000,      -9435.000,  264,   93,      1731,    3,     0.000
      12075.000,      -9435.000,  269,   93,      1732,    1,     0.000
      12065.000,      -9435.000,  268,   93,      1732,    2,     0.000
      12055.000,      -9435.000,  267,   93,      1732,    3,     0.000
      12195.000,      -9435.000,  281,   93,      1733,    1,     0.000
      12185.000,      -9425.000,  280,   94,      1733,    2,     0.000
      12175.000,      -9415.000,  279,   95,      1733,    3,     0.000
      12225.000,      -9435.000,  284,   93,      1734,    1,     0.000
      12215.000,      -9435.000,  283,   93,      1734,    2,     0.000
      12205.000,      -9435.000,  282,   93,      1734,    3,     0.000
      12435.000,      -9435.000,  305,   93,      1735,    1,     0.000
      12425.000,      -9445.000,  304,   92,      1735,    2,     0.000
      12415.000,      -9455.000,  303,   91,      1735,    3,     0.000
      12585.000,      -9435.000,  320,   93,      1736,    1,     0.000
      12575.000,      -9445.000,  319,   92,      1736,    2,     0.000
      12565.000,      -9455.000,  318,   91,      1736,    3,     0.000
      12675.000,      -9435.000,  329,   93,      1737,    1,     0.000
      12665.000,      -9445.000,  328,   92,      1737,    2,     0.000
      12655.000,      -9455.000,  327,   91,      1737,    3,     0.000
      12705.000,      -9435.000,  332,   93,      1738,    1,     0.000
      12695.000,      -9435.000,  331,   93,      1738,    2,     0.000
      12685.000,      -9435.000,  330,   93,      1738,    3,     0.000
