         435
x,y,i,j
      12035.000,      -2050.000,  265,  832
      12045.000,      -2050.000,  266,  832
      11195.000,      -2040.000,  181,  833
      11205.000,      -2040.000,  182,  833
      11955.000,      -2040.000,  257,  833
      11965.000,      -2040.000,  258,  833
      11975.000,      -2040.000,  259,  833
      11985.000,      -2040.000,  260,  833
      11995.000,      -2040.000,  261,  833
      11215.000,      -2030.000,  183,  834
      11225.000,      -2030.000,  184,  834
      11905.000,      -2030.000,  252,  834
      11915.000,      -2030.000,  253,  834
      11925.000,      -2030.000,  254,  834
      11935.000,      -2030.000,  255,  834
      11945.000,      -2030.000,  256,  834
      11235.000,      -2020.000,  185,  835
      11245.000,      -2020.000,  186,  835
      11255.000,      -2020.000,  187,  835
      11265.000,      -2020.000,  188,  835
      11275.000,      -2020.000,  189,  835
      11285.000,      -2020.000,  190,  835
      11295.000,      -2020.000,  191,  835
      11305.000,      -2020.000,  192,  835
      11315.000,      -2020.000,  193,  835
      11865.000,      -2020.000,  248,  835
      11875.000,      -2020.000,  249,  835
      11885.000,      -2020.000,  250,  835
      11895.000,      -2020.000,  251,  835
      11325.000,      -2010.000,  194,  836
      11335.000,      -2010.000,  195,  836
      11345.000,      -2010.000,  196,  836
      11355.000,      -2010.000,  197,  836
      11365.000,      -2010.000,  198,  836
      11375.000,      -2010.000,  199,  836
      11385.000,      -2010.000,  200,  836
      11395.000,      -2010.000,  201,  836
      11405.000,      -2010.000,  202,  836
      11415.000,      -2010.000,  203,  836
      11425.000,      -2010.000,  204,  836
      11435.000,      -2010.000,  205,  836
      11815.000,      -2010.000,  243,  836
      11825.000,      -2010.000,  244,  836
      11835.000,      -2010.000,  245,  836
      11845.000,      -2010.000,  246,  836
      11855.000,      -2010.000,  247,  836
      11445.000,      -2000.000,  206,  837
      11455.000,      -2000.000,  207,  837
      11465.000,      -2000.000,  208,  837
      11475.000,      -2000.000,  209,  837
      11485.000,      -2000.000,  210,  837
      11495.000,      -2000.000,  211,  837
      11505.000,      -2000.000,  212,  837
      11515.000,      -2000.000,  213,  837
      11525.000,      -2000.000,  214,  837
      11535.000,      -2000.000,  215,  837
      11545.000,      -2000.000,  216,  837
      11555.000,      -2000.000,  217,  837
      11565.000,      -2000.000,  218,  837
      11765.000,      -2000.000,  238,  837
      11775.000,      -2000.000,  239,  837
      11785.000,      -2000.000,  240,  837
      11795.000,      -2000.000,  241,  837
      11805.000,      -2000.000,  242,  837
      11575.000,      -1990.000,  219,  838
      11585.000,      -1990.000,  220,  838
      11595.000,      -1990.000,  221,  838
      11605.000,      -1990.000,  222,  838
      11615.000,      -1990.000,  223,  838
      11625.000,      -1990.000,  224,  838
      11635.000,      -1990.000,  225,  838
      11645.000,      -1990.000,  226,  838
      11655.000,      -1990.000,  227,  838
      11665.000,      -1990.000,  228,  838
      11675.000,      -1990.000,  229,  838
      11685.000,      -1990.000,  230,  838
      11695.000,      -1990.000,  231,  838
      11715.000,      -1990.000,  233,  838
      11725.000,      -1990.000,  234,  838
      11735.000,      -1990.000,  235,  838
      11745.000,      -1990.000,  236,  838
      11755.000,      -1990.000,  237,  838
      11705.000,      -1980.000,  232,  839
