         435
x,y,i,j
       9445.000,      -5020.000,    6,  535
      13445.000,      -5020.000,  406,  535
      13455.000,      -4990.000,  407,  538
      13465.000,      -4950.000,  408,  542
      13475.000,      -4910.000,  409,  546
       9435.000,      -4870.000,    5,  550
      13485.000,      -4850.000,  410,  552
      13495.000,      -4800.000,  411,  557
      13505.000,      -4740.000,  412,  563
       9425.000,      -4720.000,    4,  565
      13515.000,      -4680.000,  413,  569
      13525.000,      -4620.000,  414,  575
       9415.000,      -4570.000,    3,  580
      13535.000,      -4560.000,  415,  581
      13545.000,      -4500.000,  416,  587
      13555.000,      -4450.000,  417,  592
       9405.000,      -4430.000,    2,  594
      13565.000,      -4390.000,  418,  598
      13575.000,      -4330.000,  419,  604
      13585.000,      -4270.000,  420,  610
      13595.000,      -4210.000,  421,  616
      13605.000,      -4150.000,  422,  622
      13615.000,      -4100.000,  423,  627
