   id           z           h           u           q          cc          cf         rho           e        zini       grd_w          hs          qs          sf       hsc/d        ifld             qa           qcca           qcfa
   52    92.19900     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000    92.19900    -0.04052     1.00000     0.00000     0.11631     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
   53    92.94100     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000    92.94100    -0.05247     1.00000     0.00001     0.15062     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
   54    93.64500     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000    93.64500    -0.07040     1.00000     0.00001     0.20210     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
   55    94.60800     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000    94.60800    -0.09630     1.00000     0.00001     0.27645     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
   56    95.77500     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000    95.77500    -0.08252     1.00000     0.00001     0.23689     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
   57    96.62800     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000    96.62800    -0.06032     1.00000     0.00001     0.17315     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
   58    97.14800     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000    97.14800    -0.03677     1.00000     0.00000     0.10556     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
   59    97.83800     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000    97.83800    -0.06900     1.00000     0.00001     0.19808     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
   60    98.57600     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000    98.57600    -0.05219     1.00000     0.00001     0.14981     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
   61    99.45200     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000    99.45200    -0.08760     1.00000     0.00001     0.25148     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
   62   100.39500     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   100.39500    -0.06668     1.00000     0.00001     0.19142     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
   63   101.42300     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   101.42300    -0.07269     1.00000     0.00001     0.20868     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
   64   102.45500     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   102.45500    -0.07297     1.00000     0.00001     0.20949     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
   65   103.06500     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   103.06500    -0.04313     1.00000     0.00000     0.12383     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
   66   103.93400     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   103.93400    -0.06145     1.00000     0.00001     0.17640     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
   67   105.05000     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   105.05000    -0.07891     1.00000     0.00001     0.22654     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
   68   106.20300     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   106.20300    -0.11530     1.00000     0.00001     0.33099     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
   69   108.19800     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   108.19800    -0.19950     1.00000     0.00002     0.57271     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
   70   111.50300     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   111.50300    -0.23370     1.00000     0.00002     0.67089     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
   71   115.86800     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   115.86800    -0.43650     0.99999     0.00004     1.25306     0.70502           1   0.00000E+000   0.00000E+000   0.00000E+000
   72   117.68200     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   117.68200    -0.18140     1.00000     0.00002     0.52075     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
   73   119.12900     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   119.12900    -0.10232     1.00000     0.00001     0.29373     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
   74   120.14500     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   120.14500    -0.10160     1.00000     0.00001     0.29167     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
   75   121.46600     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   121.46600    -0.13210     1.00000     0.00001     0.37922     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
   76   122.44900     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   122.44900    -0.06951     1.00000     0.00001     0.19954     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
   77   123.22200     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   123.22200    -0.07730     1.00000     0.00001     0.22191     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
   78   124.23700     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   124.23700    -0.10150     1.00000     0.00001     0.29138     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
   79   125.22200     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   125.22200    -0.09850     1.00000     0.00001     0.28277     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
   80   126.33800     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   126.33800    -0.07891     1.00000     0.00001     0.22654     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
   81   127.13700     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   127.13700    -0.07990     1.00000     0.00001     0.22937     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
   82   129.86500     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   129.86500    -0.19290     1.00000     0.00002     0.55376     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
   83   131.68500     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   131.68500    -0.18200     1.00000     0.00002     0.52247     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
   84   134.38500     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   134.38500    -0.19092     1.00000     0.00002     0.54808     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
   85   136.91700     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   136.91700    -0.17904     1.00000     0.00002     0.51398     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
   86   139.54500     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   139.54500    -0.18583     1.00000     0.00002     0.53346     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
   87   141.81700     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   141.81700    -0.16066     1.00000     0.00002     0.46120     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
   88   143.15600     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   143.15600    -0.13390     1.00000     0.00001     0.38439     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
   89   144.42500     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   144.42500    -0.08973     1.00000     0.00001     0.25760     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
   90   145.47300     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   145.47300    -0.07411     1.00000     0.00001     0.21274     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
   91   146.66700     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   146.66700    -0.11940     1.00000     0.00001     0.34276     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
   92   148.15000     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   148.15000    -0.14830     1.00000     0.00001     0.42573     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
   93   149.30000     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   149.30000    -0.08132     1.00000     0.00001     0.23344     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
   94   150.81400     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   150.81400    -0.15140     1.00000     0.00002     0.43463     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
   95   152.07700     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   152.07700    -0.12630     1.00000     0.00001     0.36257     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
   96   153.07000     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   153.07000    -0.09930     1.00000     0.00001     0.28506     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
   97   153.66300     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   153.66300    -0.05930     1.00000     0.00001     0.17023     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
   98   154.24600     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   154.24600    -0.05830     1.00000     0.00001     0.16736     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
   99   155.57200     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   155.57200    -0.13260     1.00000     0.00001     0.38066     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
  100   156.79200     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   156.79200    -0.12200     1.00000     0.00001     0.35023     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
